Statistic Measure	SVM (BoW)	Random Forest (BoW)	SVM (SVD)	Random Forest (SVD)	SVM (W2V)	Random Forest (W2V)	My Method
Accuracy	0.254442459028	0.90869007686	0.307598607195	0.946273753542	0.953040280476	0.897359506269	0.963068652438
Precision	0.0648322227895	0.910666847322	0.384376605288	0.946808351595	0.95316912486	0.898567291464	0.96321976253
Recall	0.254442459028	0.90869007686	0.307598607195	0.946273753542	0.953040280476	0.897359506269	0.963068652438
F-Measure	0.103311040206	0.907499796549	0.199803446677	0.946216210804	0.953013828108	0.896788828324	0.963049786665
